Name	Variable	Namespace	Filename
"""lostPackets"""	lostPacketsSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""lostSamples"""	lostSamplesSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""markPk"""	markPkSignal	DSCPMarker::	networklayer/diffserv/DSCPMarker.cc
"""messageSent"""	messageSentSignal	NetAnimTrace::	common/misc/NetAnimTrace.cc
"""minSNIR"""	minSNIRSignal	Radio::	physicallayer/common/packetlevel/Radio.cc
"""mobilityStateChanged"""	mobilityStateChangedSignal	IMobility::	mobility/contract/IMobility.cc
"""mobilityStateChanged"""	mobilityStateChangedSignal	NetAnimTrace::	common/misc/NetAnimTrace.cc
"""nodeStatusChanged"""	nodeStatusChangedSignal	NodeStatus::	common/lifecycle/NodeStatus.cc
"""numLost"""	numLostSignal	PingApp::	applications/pingapp/PingApp.cc
"""numOutOfOrderArrivals"""	numOutOfOrderArrivalsSignal	PingApp::	applications/pingapp/PingApp.cc
"""numRoutes"""	numRoutesSignal	RIPRouting::	routing/rip/RIPRouting.cc
"""obstaclePenetrated"""	obstaclePenetratedSignal	ITracingObstacleLoss::	physicallayer/contract/packetlevel/ITracingObstacleLoss.cc
"""outOfOrderPk"""	outOfOrderPkSignal	UDPBasicBurst::	applications/udpapp/UDPBasicBurst.cc
"""packetDrop"""	packetDropSignal		common/Simsignals.cc
"""packetErrorRate"""	packetErrorRateSignal	Radio::	physicallayer/common/packetlevel/Radio.cc
"""packetHasVoice"""	packetHasVoiceSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""packetReceivedFromLower"""	packetReceivedFromLowerSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""packetReceivedFromLower"""	packetReceivedFromLowerSignal	LayeredProtocolBase::	common/LayeredProtocolBase.cc
"""packetReceivedFromLower"""	packetReceivedFromLowerSignal	PPP::	linklayer/ppp/PPP.cc
"""packetReceivedFromLower"""	packetReceivedFromLowerSignal	TunInterface::	linklayer/tun/TunInterface.cc
"""packetReceivedFromUpper"""	packetReceivedFromUpperSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""packetReceivedFromUpper"""	packetReceivedFromUpperSignal	LayeredProtocolBase::	common/LayeredProtocolBase.cc
"""packetReceivedFromUpper"""	packetReceivedFromUpperSignal	Loopback::	linklayer/loopback/Loopback.cc
"""packetReceivedFromUpper"""	packetReceivedFromUpperSignal	PPP::	linklayer/ppp/PPP.cc
"""packetReceivedFromUpper"""	packetReceivedFromUpperSignal	TunInterface::	linklayer/tun/TunInterface.cc
"""packetSentToLower"""	packetSentToLowerSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""packetSentToLower"""	packetSentToLowerSignal	LayeredProtocolBase::	common/LayeredProtocolBase.cc
"""packetSentToLower"""	packetSentToLowerSignal	PPP::	linklayer/ppp/PPP.cc
"""packetSentToLower"""	packetSentToLowerSignal	TunInterface::	linklayer/tun/TunInterface.cc
"""packetSentToUpper"""	packetSentToUpperSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""packetSentToUpper"""	packetSentToUpperSignal	LayeredProtocolBase::	common/LayeredProtocolBase.cc
"""packetSentToUpper"""	packetSentToUpperSignal	Loopback::	linklayer/loopback/Loopback.cc
"""packetSentToUpper"""	packetSentToUpperSignal	PPP::	linklayer/ppp/PPP.cc
"""packetSentToUpper"""	packetSentToUpperSignal	TunInterface::	linklayer/tun/TunInterface.cc
"""passedUpPk"""	passedUpPkSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""passedUpPk"""	passedUpPkSignal	UDP::	transportlayer/udp/UDP.cc
"""pauseSent"""	pauseSentSignal	EtherEncap::	linklayer/ethernet/EtherEncap.cc
"""pauseSent"""	pauseSentSignal	EtherLLC::	linklayer/ethernet/EtherLLC.cc
"""pingRxSeq"""	pingRxSeqSignal	PingApp::	applications/pingapp/PingApp.cc
"""pingTxSeq"""	pingTxSeqSignal	PingApp::	applications/pingapp/PingApp.cc
"""pk"""	pkSignal	EtherHub::	linklayer/ethernet/EtherHub.cc
"""pk"""	pkSignal	UDPEchoApp::	applications/udpapp/UDPEchoApp.cc
"""pkClass"""	pkClassSignal	BehaviorAggregateClassifier::	networklayer/diffserv/BehaviorAggregateClassifier.cc
"""pkClass"""	pkClassSignal	MultiFieldClassifier::	networklayer/diffserv/MultiFieldClassifier.cc
"""powerConsumptionChanged"""	powerConsumptionChangedSignal	IEpEnergyConsumer::	power/contract/IEpEnergyConsumer.cc
"""powerConsumptionChanged"""	powerConsumptionChangedSignal	IEpEnergySource::	power/contract/IEpEnergySource.cc
"""powerGenerationChanged"""	powerGenerationChangedSignal	IEpEnergyGenerator::	power/contract/IEpEnergyGenerator.cc
"""powerGenerationChanged"""	powerGenerationChangedSignal	IEpEnergySink::	power/contract/IEpEnergySink.cc
"""queueLength"""	queueLengthSignal	DropTailQueue::	common/queue/DropTailQueue.cc
"""queueLength"""	queueLengthSignal	FIFOQueue::	common/queue/FIFOQueue.cc
"""queueingTime"""	queueingTimeSignal	PassiveQueueBase::	common/queue/PassiveQueueBase.cc
"""radioAdded"""	radioAddedSignal	IRadioMedium::	physicallayer/contract/packetlevel/IRadioMedium.cc
"""radioChannelChanged"""	radioChannelChangedSignal	Ieee80211Radio::	physicallayer/ieee80211/packetlevel/Ieee80211Radio.cc
"""radioModeChanged"""	radioModeChangedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
"""radioRemoved"""	radioRemovedSignal	IRadioMedium::	physicallayer/contract/packetlevel/IRadioMedium.cc
"""rcvdAssertPk"""	rcvdAssertPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""rcvdAssertPk"""	rcvdAssertPkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""rcvdGraftAckPk"""	rcvdGraftAckPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""rcvdGraftPk"""	rcvdGraftPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""rcvdHelloPk"""	rcvdHelloPkSignal	PIMBase::	routing/pim/modes/PIMBase.cc
"""rcvdJoinPrunePk"""	rcvdJoinPrunePkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""rcvdJoinPrunePk"""	rcvdJoinPrunePkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""rcvdPk"""	rcvdPkSignal		applications/ethernet/EthernetApplication.cc
"""rcvdPk"""	rcvdPkSignal	Delayer::	common/queue/Delayer.cc
"""rcvdPk"""	rcvdPkSignal	EtherAppCli::	applications/ethernet/EtherAppCli.cc
"""rcvdPk"""	rcvdPkSignal	EtherAppSrv::	applications/ethernet/EtherAppSrv.cc
"""rcvdPk"""	rcvdPkSignal	EtherTrafGen::	applications/ethernet/EtherTrafGen.cc
"""rcvdPk"""	rcvdPkSignal	IPvXTrafGen::	applications/generic/IPvXTrafGen.cc
"""rcvdPk"""	rcvdPkSignal	IPvXTrafSink::	applications/generic/IPvXTrafSink.cc
"""rcvdPk"""	rcvdPkSignal	OrdinalBasedDropper::	common/queue/OrdinalBasedDropper.cc
"""rcvdPk"""	rcvdPkSignal	OrdinalBasedDuplicator::	common/queue/OrdinalBasedDuplicator.cc
"""rcvdPk"""	rcvdPkSignal	PassiveQueueBase::	common/queue/PassiveQueueBase.cc
"""rcvdPk"""	rcvdPkSignal	RTCP::	transportlayer/rtp/RTCP.cc
"""rcvdPk"""	rcvdPkSignal	RTP::	transportlayer/rtp/RTP.cc
"""rcvdPk"""	rcvdPkSignal	SCTPClient::	applications/sctpapp/SCTPClient.cc
"""rcvdPk"""	rcvdPkSignal	SCTPPeer::	applications/sctpapp/SCTPPeer.cc
"""rcvdPk"""	rcvdPkSignal	Sink::	common/queue/Sink.cc
"""rcvdPk"""	rcvdPkSignal	TCPAppBase::	applications/tcpapp/TCPAppBase.cc
"""rcvdPk"""	rcvdPkSignal	TCPEchoApp::	applications/tcpapp/TCPEchoApp.cc
"""rcvdPk"""	rcvdPkSignal	TCPGenericSrvApp::	applications/tcpapp/TCPGenericSrvApp.cc
"""rcvdPk"""	rcvdPkSignal	TCPSinkApp::	applications/tcpapp/TCPSinkApp.cc
"""rcvdPk"""	rcvdPkSignal	TunLoopbackApp::	applications/tunapp/TunLoopbackApp.cc
"""rcvdPk"""	rcvdPkSignal	UDP::	transportlayer/udp/UDP.cc
"""rcvdPk"""	rcvdPkSignal	UDPBasicApp::	applications/udpapp/UDPBasicApp.cc
"""rcvdPk"""	rcvdPkSignal	UDPBasicBurst::	applications/udpapp/UDPBasicBurst.cc
"""rcvdPk"""	rcvdPkSignal	UDPSink::	applications/udpapp/UDPSink.cc
"""rcvdPk"""	rcvdPkSignal	UDPVideoStreamCli::	applications/udpapp/UDPVideoStreamCli.cc
"""rcvdPk"""	rcvdPkSignal	VoIPStreamReceiver::	applications/voipstream/VoIPStreamReceiver.cc
"""rcvdPkRtpTimestamp"""	_rcvdPkRtpTimestampSignal	RTPPayloadReceiver::	transportlayer/rtp/RTPPayloadReceiver.cc
"""rcvdRegisterPk"""	rcvdRegisterPkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""rcvdRegisterStopPk"""	rcvdRegisterStopPkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""rcvdResponse"""	rcvdResponseSignal	RIPRouting::	routing/rip/RIPRouting.cc
"""rcvdStateRefreshPk"""	rcvdStateRefreshPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""receiveState"""	receiveStateSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""receivedSignalPartChanged"""	receivedSignalPartChangedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
"""receptionEnded"""	receptionEndedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
"""receptionStarted"""	receptionStartedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
"""receptionStateChanged"""	receptionStateChangedSignal	IRadio::	physicallayer/contract/packetlevel/IRadio.cc
"""reqStreamBytes"""	reqStreamBytesSignal	UDPVideoStreamSvr::	applications/udpapp/UDPVideoStreamSvr.cc
"""residualChargeCapacityChanged"""	residualChargeCapacityChangedSignal	ICcEnergyStorage::	power/contract/ICcEnergyStorage.cc
"""residualEnergyCapacityChanged"""	residualEnergyCapacityChangedSignal	IEpEnergyStorage::	power/contract/IEpEnergyStorage.cc
"""rtt"""	rttSignal	PingApp::	applications/pingapp/PingApp.cc
"""rxPausePkUnits"""	rxPausePkUnitsSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""rxPkFromHL"""	rxPkFromHLSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""rxPkOk"""	rxPkOkSignal	EtherMACBase::	linklayer/ethernet/EtherMACBase.cc
"""rxPkOk"""	rxPkOkSignal	PPP::	linklayer/ppp/PPP.cc
"""sentAssertPk"""	sentAssertPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""sentAssertPk"""	sentAssertPkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""sentGraftAckPk"""	sentGraftAckPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""sentGraftPk"""	sentGraftPkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""sentHelloPk"""	sentHelloPkSignal	PIMBase::	routing/pim/modes/PIMBase.cc
"""sentJoinPrunePk"""	sentJoinPrunePkSignal	PIMDM::	routing/pim/modes/PIMDM.cc
"""sentJoinPrunePk"""	sentJoinPrunePkSignal	PIMSM::	routing/pim/modes/PIMSM.cc
"""sentPk"""	sentPkSignal		applications/ethernet/EthernetApplication.cc
"""sentPk"""	sentPkSignal	Delayer::	common/queue/Delayer.cc
"""sentPk"""	sentPkSignal	EtherAppCli::	applications/ethernet/EtherAppCli.cc
"""sentPk"""	sentPkSignal	EtherAppSrv::	applications/ethernet/EtherAppSrv.cc
"""sentPk"""	sentPkSignal	EtherTrafGen::	applications/ethernet/EtherTrafGen.cc
"""sentPk"""	sentPkSignal	IPvXTrafGen::	applications/generic/IPvXTrafGen.cc
"""sentPk"""	sentPkSignal	OrdinalBasedDropper::	common/queue/OrdinalBasedDropper.cc
"""sentPk"""	sentPkSignal	OrdinalBasedDuplicator::	common/queue/OrdinalBasedDuplicator.cc
"""sentPk"""	sentPkSignal	SCTPClient::	applications/sctpapp/SCTPClient.cc
"""sentPk"""	sentPkSignal	SCTPPeer::	applications/sctpapp/SCTPPeer.cc
"""sentPk"""	sentPkSignal	TCPAppBase::	applications/tcpapp/TCPAppBase.cc
"""sentPk"""	sentPkSignal	TCPEchoApp::	applications/tcpapp/TCPEchoApp.cc
"""sentPk"""	sentPkSignal	TCPGenericSrvApp::	applications/tcpapp/TCPGenericSrvApp.cc
